Date:	Work Date						
From:	3/15/2015						
To:	3/28/2015						
							
Work Date	Out	Reg Hrs	OT Hrs	Misc Hrs	Expenses		
Contingent Worker:	John Thompson						
3/17/2015	5:00 PM	7.00	0.00	0.00	0.00		
3/18/2015	3:00 PM	5.00	0.00	0.00	0.00		
3/19/2015	5:45 PM	7.75	0.00	0.00	0.00		
3/20/2015	5:15 PM	7.25	0.00	0.00	0.00		
3/21/2015	5:45 PM	7.75	0.00	0.00	0.00		
3/24/2015	6:45 PM	8.75	0.00	0.00	0.00		
3/25/2015	4:45 PM	6.75	0.00	0.00	0.00		
3/26/2015	4:00 PM	6.00	0.00	0.00	0.00		
3/27/2015	6:30 PM	8.50	0.00	0.00	0.00		
3/28/2015	6:45 PM	8.75	0.00	0.00	0.00		
Number of Record(s):	10	73.50	0.00	0.00	0.00		
Contingent Worker:	Bob Johnson						
3/17/2015	5:15 PM	7.25	0.00	0.00	0.00		
3/18/2015	6:45 PM	8.75	0.00	0.00	0.00		
3/19/2015	5:15 PM	7.25	0.00	0.00	0.00		
3/20/2015	5:15 PM	7.25	0.00	0.00	0.00		
3/21/2015	7:00 PM	9.00	0.00	0.00	0.00		
3/24/2015	4:45 PM	6.75	0.00	0.00	0.00		
3/25/2015	4:00 PM	6.00	0.00	0.00	0.00		
3/26/2015	4:30 PM	6.50	0.00	0.00	0.00		
3/27/2015	3:15 PM	5.25	0.00	0.00	0.00		
3/28/2015	5:30 PM	7.50	0.00	0.00	0.00		
Number of Record(s):	10	71.50	0.00	0.00	0.00		
